ACE LTD,10-K,896159,2009-02-27,edgar/data/896159/0001193125-09-040758.txt
ACE LTD,10-K/A,896159,2009-03-10,edgar/data/896159/0001193125-09-049889.txt
ACE MARKETING & PROMOTIONS INC,10-K,1084267,2009-03-30,edgar/data/1084267/0001019687-09-001084.txt
ACHILLION PHARMACEUTICALS INC,10-K,1070336,2009-03-27,edgar/data/1070336/0001193125-09-065690.txt
"ACI WORLDWIDE, INC.",10-K,935036,2009-03-04,edgar/data/935036/0000950123-09-003964.txt
ACME PACKET INC,10-K,1130258,2009-03-13,edgar/data/1130258/0001047469-09-002660.txt
ACME UNITED CORP,10-K,2098,2009-03-10,edgar/data/2098/0001026608-09-000026.txt
ACNB CORP,10-K,715579,2009-03-13,edgar/data/715579/0001047469-09-002638.txt
ACORDA THERAPEUTICS INC,10-K,1008848,2009-03-02,edgar/data/1008848/0001047469-09-002124.txt
"ACORN ENERGY, INC.",10-K,880984,2009-03-30,edgar/data/880984/0001144204-09-017059.txt
ACRO INC.,10-K,1228386,2009-03-30,edgar/data/1228386/0001178913-09-000715.txt
ACTEL CORP,10-K,907687,2009-03-20,edgar/data/907687/0000950134-09-005778.txt
ACTIVE POWER INC,10-K,1044435,2009-03-03,edgar/data/1044435/0001193125-09-043691.txt
ACTUATE CORP,10-K,1062478,2009-03-12,edgar/data/1062478/0001193125-09-052347.txt
"ACURA PHARMACEUTICALS, INC",10-K,786947,2009-03-02,edgar/data/786947/0001144204-09-011488.txt
ADA-ES INC,10-K,1223112,2009-03-27,edgar/data/1223112/0001193125-09-066089.txt
ADAM INC,10-K,863650,2009-03-24,edgar/data/863650/0001193125-09-061656.txt
ADAMS GOLF INC,10-K,1059763,2009-03-11,edgar/data/1059763/0001144204-09-013277.txt
"ADAMS RESOURCES & ENERGY, INC.",10-K,2178,2009-03-24,edgar/data/2178/0000002178-09-000007.txt
ADCARE HEALTH SYSTEMS INC,10-K,1004724,2009-03-31,edgar/data/1004724/0001004724-09-000006.txt
ADEN SOLUTIONS INC.,10-K,1427639,2009-03-27,edgar/data/1427639/0001294606-09-000022.txt
"ADEONA PHARMACEUTICALS, INC.",10-K,894158,2009-03-31,edgar/data/894158/0001132072-09-000150.txt
"ADEX MEDIA, INC.",10-K,1402531,2009-03-31,edgar/data/1402531/0001213900-09-000714.txt
ADHEREX TECHNOLOGIES INC,10-K,1211583,2009-03-30,edgar/data/1211583/0001193125-09-067881.txt
ADINO ENERGY CORP,10-K,700815,2009-03-18,edgar/data/700815/0001144204-09-014682.txt
ADMINISTAFF INC \DE\,10-K,1000753,2009-02-09,edgar/data/1000753/0000950129-09-000335.txt
ADOBE SYSTEMS INC,10-K,796343,2009-01-23,edgar/data/796343/0000796343-09-000007.txt
ADOLOR CORP,10-K,1076167,2009-02-26,edgar/data/1076167/0001193125-09-038442.txt
ADTRAN INC,10-K,926282,2009-02-27,edgar/data/926282/0001193125-09-040626.txt
ADVANCE AUTO PARTS INC,10-K,1158449,2009-03-04,edgar/data/1158449/0001158449-09-000027.txt
ADVANCED ANALOGIC TECHNOLOGIES INC,10-K,1104042,2009-02-26,edgar/data/1104042/0001193125-09-039062.txt
"ADVANCED BATTERY TECHNOLOGIES, INC.",10-K,745651,2009-03-16,edgar/data/745651/0001096906-09-000214.txt
ADVANCED ENERGY INDUSTRIES INC,10-K,927003,2009-02-27,edgar/data/927003/0000950134-09-003964.txt
ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC,10-K,849706,2009-03-30,edgar/data/849706/0001171843-09-000284.txt
"ADVANCED GROWING SYSTEMS, INC.",10-K,1369608,2009-01-13,edgar/data/1369608/0001213900-09-000060.txt
ADVANCED MEDICAL OPTICS INC,10-K,1168335,2009-02-24,edgar/data/1168335/0001193125-09-036296.txt
ADVANCED MICRO DEVICES INC,10-K,2488,2009-02-24,edgar/data/2488/0001193125-09-036235.txt
ADVANCED TECHNOLOGIES GROUP LTD,10KSB/A,1119046,2009-01-29,edgar/data/1119046/0001165527-09-000061.txt
ADVANCED TECHNOLOGY ACQUISITION CORP.,10-K,1374796,2009-03-31,edgar/data/1374796/0001144204-09-017728.txt
ADVANT E CORP,10-K,925043,2009-03-27,edgar/data/925043/0001193125-09-066109.txt
ADVANTA BUSINESS RECEIVABLES CORP,10-K,1107920,2009-03-30,edgar/data/1107920/0000893220-09-000679.txt
ADVANTA CORP,10-K,96638,2009-03-13,edgar/data/96638/0000893220-09-000538.txt
ADVENT SOFTWARE INC /DE/,10-K,1002225,2009-03-12,edgar/data/1002225/0001047469-09-002544.txt
ADVENTRX PHARMACEUTICALS INC,10-K,1160308,2009-03-27,edgar/data/1160308/0001362310-09-004405.txt
ADVISORY BOARD CO,10-K/A,1157377,2009-02-27,edgar/data/1157377/0000950133-09-000516.txt
ADVOCAT INC,10-K,919956,2009-03-10,edgar/data/919956/0000950144-09-002047.txt
AECOM TECHNOLOGY CORP,10-K/A,868857,2009-01-23,edgar/data/868857/0001047469-09-000346.txt
AEI INCOME & GROWTH FUND 24 LLC,10-K,1130758,2009-03-30,edgar/data/1130758/0000819577-09-000017.txt
AEI INCOME & GROWTH FUND 25 LLC,10-K,1185198,2009-03-30,edgar/data/1185198/0000819577-09-000018.txt
AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP,10-K,931755,2009-03-30,edgar/data/931755/0000819577-09-000015.txt
AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,10-K,1023458,2009-03-30,edgar/data/1023458/0000819577-09-000016.txt
AEI Income & Growth Fund 26 LLC,10-K,1326321,2009-03-30,edgar/data/1326321/0000819577-09-000019.txt
